Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at HomeRoad
Jaroslav Halak, 25.838541666666668, 'NULL', 25.60576923076923, 23.346153846153847
Patrick Kane, 3.45, 3.265625, 3.328473413379074, 'NULL'
Chris Kreider, 'NULL', 2.404463040446304, 2.27027027027027, 2.0714285714285716
Vladimir Tarasenko, 3.3846153846153846, 'NULL', 3.1714719271623673, 3.361904761904762
Vincent Trocheck, 'NULL', 2.579710144927536, 2.95, 2.28099173553719
Mika Zibanejad, 'NULL', 2.621837549933422, 3.0, 2.4726027397260273
Barclay Goodrow, 0.8461538461538461, 1.2226890756302522, 'NULL', 1.1585365853658536
Jacob Trouba, 1.75, 2.2006033182503772, 'NULL', 1.8108108108108107
Jimmy Vesey, 0.6, 'NULL', 1.0
Tyler Motte, 1.5142857142857142, 2.5, 'NULL', 1.5384615384615385
Ben Harpur, 0.8279569892473119, 0.75, 'NULL', 0.9818181818181818
Igor Shesterkin, 27.285714285714285, 'NULL', 27.65986394557823, 28.571428571428573
Artemi Panarin, 'NULL', 2.5662020905923346, 2.1923076923076925, 2.4183673469387754
Niko Mikkola, 0.8961038961038961, 0.75, 0.7142857142857143, 'NULL'
Adam Fox, 1.9405204460966543, 1.7857142857142858, 'NULL', 1.625
Ryan Lindgren, 1.043824701195219, 'NULL', 1.2307692307692308, 1.2432432432432432
Filip Chytil, 1.9581993569131833, 2.388888888888889, 'NULL', 1.8
K'Andre Miller, 1.2676767676767677, 1.088235294117647, 'NULL', 1.3076923076923077
Kaapo Kakko, 1.5695067264573992, 1.6153846153846154, 1.6428571428571428, 'NULL'
Braden Schneider, 0.8518518518518519, 1.5, 'NULL', 0.7
Alexis Lafrenière, 1.455, 'NULL', 1.6923076923076923, 1.2432432432432432
