Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at condition
Jaroslav Halak, 25.831889081455806, 28.066666666666666, 25.571428571428573, 25.78745644599303
Patrick Kane, 3.325641025641026, 3.4444444444444446, 3.25, 3.4565587734241907
Chris Kreider, 2.407766990291262, 2.121212121212121, 2.1, 2.5313351498637604
Vladimir Tarasenko, 3.165912518853695, 2.8125, 3.3211009174311927, 3.2477064220183487
Vincent Trocheck, 2.5728, 2.6842105263157894, 2.256, 2.5987460815047023
Mika Zibanejad, 2.622516556291391, 2.3870967741935485, 2.48, 2.725130890052356
Barclay Goodrow, 1.2166666666666666, 1.173913043478261, 1.127906976744186, 1.2685950413223142
Jacob Trouba, 2.2038980509745127, 1.15, 1.8434782608695652, 2.2660550458715596
Jimmy Vesey, 0.6, 0, 1.0, 0.42857142857142855
Tyler Motte, 1.5203761755485894, 1.1428571428571428, 1.5714285714285714, 1.509090909090909
Ben Harpur, 0.8263157894736842, 0.7777777777777778, 0.9661016949152542, 0.7415730337078652
Igor Shesterkin, 27.713333333333335, 25.0, 27.666666666666668, 27.651162790697676
Artemi Panarin, 2.5588235294117645, 1.6818181818181819, 2.3823529411764706, 2.7231833910034604
Niko Mikkola, 0.9050632911392406, 0.6666666666666666, 0.78125, 0.95
Adam Fox, 1.934065934065934, 1.8, 1.7608695652173914, 2.0441176470588234
Ryan Lindgren, 1.043824701195219, 0.8181818181818182, 1.2432432432432432, 1.088
Filip Chytil, 1.9714285714285715, 1.5, 1.875, 2.165562913907285
K'Andre Miller, 1.297029702970297, 1.5, 1.263157894736842, 1.3980582524271845
Kaapo Kakko, 1.5594713656387664, 1.375, 1.5333333333333334, 1.565217391304348
Braden Schneider, 0.8482142857142857, 0.5, 0.7083333333333334, 0.6166666666666667
Alexis Lafrenière, 1.4558823529411764, 2.0, 1.2682926829268293, 1.6666666666666667
Carl Hagelin, 2.0042075736325384, 2.1666666666666665, 2.2, 2.0386740331491713
John Carlson, 2.3489640130861504, 2.34375, 2.1301775147928996, 2.3333333333333335
Joe Snively, 1.619047619047619, 0.0, 0.0, 1.5
Alex Ovechkin, 4.731889469753548, 4.863636363636363, 4.661087866108787, 4.700751879699248
T.J. Oshie, 2.0556138509968522, 1.96, 2.118279569892473, 2.1196581196581197
Nicklas Backstrom, 25.222760290556902, 25.75, 24.692307692307693, 23.833333333333332
Craig Smith, 2.4750593824228027, 3.142857142857143, 2.4859154929577465, 2.4105011933174225
Darcy Kuemper, 26.10662824207493, 31.0, 26.596774193548388, 25.575757575757574
Nick Jensen, 1.4516129032258065, 0.0, 1.7272727272727273, 1.375
Nic Dowd, 1.0373831775700935, 1.0, 1.1578947368421053, 0.9902912621359223
Matt Irwin, 1.5748898678414096, 1.7272727272727273, 1.6631578947368422, 1.641025641025641
Evgeny Kuznetsov, 2.1898355754858, 1.8125, 2.15702479338843, 2.287425149700599
Tom Wilson, 1.5261584454409567, 0.8064516129032258, 1.4672131147540983, 1.5242424242424242
Anthony Mantha, 2.427536231884058, 2.75, 2.4444444444444446, 2.442786069651741
Conor Sheary, 1.8269230769230769, 1.55, 1.898989898989899, 1.8850574712643677
Trevor van Riemsdyk, 1.22011385199241, 1.2105263157894737, 1.4166666666666667, 1.2720306513409962
Sonny Milano, 1.300395256916996, 1.0, 1.3409090909090908, 1.323076923076923
Dylan Strome, 1.7551020408163265, 1.5625, 1.9636363636363636, 1.8695652173913044
Gabriel Carlsson, 0.75, 0, 0.5416666666666666, 0.6
Charlie Lindgren, 25.982456140350877, 24.666666666666668, 29.625, 25.48148148148148
Martin Fehervary, 1.2695035460992907, 1.8571428571428572, 1.368421052631579, 1.3285714285714285
Alexander Alexeyev, 0.8636363636363636, 1.5, 1.3333333333333333, 0.375
Rasmus Sandin, 0.9864864864864865, 0.75, 1.1333333333333333, 1.0897435897435896
Cam Atkinson, 2.9971428571428573, 3.066666666666667, 2.8120805369127515, 3.1376404494382024
Ryan Ellis, 1.8886925795053005, 2.1176470588235294, 1.8703703703703705, 2.0277777777777777
Sean Couturier, 2.187239944521498, 1.9655172413793103, 2.0955882352941178, 2.26027397260274
Travis Konecny, 2.3333333333333335, 2.3125, 2.2875, 2.3347280334728033
Justin Braun, 1.3005988023952095, 1.25, 1.361963190184049, 1.3429256594724222
James van Riemsdyk, 2.6699029126213594, 2.6944444444444446, 2.647798742138365, 2.774834437086093
Nicolas Deslauriers, 1.0591304347826087, 0.9473684210526315, 1.161904761904762, 1.0477815699658704
Kevin Hayes, 2.136876006441224, 1.8, 1.9230769230769231, 2.1785714285714284
Nick Seeler, 0.9018691588785047, 0.8333333333333334, 0.5897435897435898, 0.9722222222222222
Scott Laughton, 1.598814229249012, 1.7777777777777777, 1.64, 1.5354330708661417
Rasmus Ristolainen, 1.9194029850746268, 1.962962962962963, 2.1565217391304348, 1.948640483383686
Travis Sanheim, 1.5359801488833746, 1.1666666666666667, 1.4, 1.702970297029703
Brendan Lemieux, 1.16793893129771, 0.8333333333333334, 1.475, 1.1928571428571428
Felix Sandstrom, 26.894736842105264, 32.0, 28.333333333333332, 24.7
Ivan Provorov, 2.044315992292871, 2.4705882352941178, 2.2444444444444445, 2.2355212355212357
Wade Allison, 1.4838709677419355, 1.0, 1.4, 1.6129032258064515
Kieffer Bellows, 1.5393258426966292, 0.3333333333333333, 1.2352941176470589, 1.6744186046511629
Carter Hart, 26.6, 30.0, 27.6, 27.535714285714285
Tanner Laczynski, 0.8125, 0.0, 0.8571428571428571, 0.9411764705882353
Owen Tippett, 2.335195530726257, 3.0, 3.259259259259259, 2.168539325842697
Morgan Frost, 1.6620689655172414, 1.4, 1.4444444444444444, 1.7464788732394365
Noah Cates, 1.2705882352941176, 0.5, 1.6666666666666667, 1.2682926829268293
Joel Farabee, 1.8326359832635983, 1.7142857142857142, 1.8095238095238095, 1.8305084745762712
Cam York, 0.8783783783783784, 1.0, 0.7894736842105263, 0.9411764705882353
Tyson Foerster, 1.8, 0, 1.8, 2.3333333333333335
Jonathan Bernier, 26.336633663366335, 24.642857142857142, 27.06578947368421, 26.01
Mackenzie Blackwood, 27.102040816326532, 29.0, 28.1, 25.546666666666667
Brendan Smith, 1.2131147540983607, 0, 1.6666666666666667, 1.1666666666666667
Tomas Tatar, 2.090791180285344, 2.2777777777777777, 1.9248120300751879, 2.0865139949109417
Erik Haula, 1.7218543046357615, 1.5, 1.7327586206896552, 1.7346278317152104
Ondrej Palat, 1.8753753753753755, 1.8235294117647058, 1.911764705882353, 1.851963746223565
Dougie Hamilton, 2.852503382949932, 3.0, 2.673758865248227, 2.889784946236559
Damon Severson, 1.6251968503937009, 1.5714285714285714, 1.5344827586206897, 1.6305732484076434
Miles Wood, 2.188775510204082, 2.0, 2.0163934426229506, 2.116751269035533
Ryan Graves, 1.6735395189003437, 1.5294117647058822, 1.462962962962963, 1.6458333333333333
Curtis Lazar, 1.1039823008849559, 0.8333333333333334, 1.146341463414634, 1.2231759656652361
Vitek Vanecek, 24.178861788617887, 18.0, 25.652173913043477, 23.970149253731343
Jonas Siegenthaler, 0.9631147540983607, 0.5, 1.0666666666666667, 0.8688524590163934
Timo Meier, 3.2891304347826087, 3.0416666666666665, 3.1392405063291138, 3.3893805309734515
John Marino, 1.0991735537190082, 0.6, 0.9761904761904762, 1.1788617886178863
Jesper Bratt, 2.050397877984085, 3.0, 2.05, 2.0054054054054054
Nathan Bastian, 1.3522012578616351, 0.6666666666666666, 1.65625, 1.1168831168831168
Michael McLeod, 1.0646551724137931, 1.3333333333333333, 1.087719298245614, 0.990990990990991
