Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at condition, Average of Conditions
Anton Forsberg, 26.607692307692307, 44.25, 27.181818181818183, 26.349206349206348, 31.09717920967921
Josh Norris, 2.1954887218045114, 3.25, 2.111111111111111, 2.3181818181818183, 2.4686954127743603
Claude Giroux, 2.599450045829514, 2.977272727272727, 2.6826923076923075, 2.7012750455373404, 2.740172531582972
Derick Brassard, 1.9119683481701286, 2.2857142857142856, 1.8324324324324324, 2.021276595744681, 2.0128479155153816
Nick Holden, 1.186046511627907, 1.35, 1.2307692307692308, 1.2469135802469136, 1.253432330661013
Travis Hamonic, 1.7964601769911503, 1.0869565217391304, 1.8414634146341464, 1.8693467336683418, 1.648556711758192
Cam Talbot, 26.794392523364486, 30.75, 27.9875, 26.401826484018265, 27.98342975184569
Austin Watson, 1.1743697478991597, 1.3571428571428572, 1.0657894736842106, 1.1861471861471862, 1.1958623162183533
Thomas Chabot, 2.431578947368421, 2.2857142857142856, 2.1384615384615384, 2.6825396825396823, 2.3845736135209816
Mathieu Joseph, 1.1756272401433692, 1.3333333333333333, 0.8333333333333334, 1.15, 1.123073476702509
Julien Gauthier, 1.1266666666666667, 0.6, 1.121212121212121, 1.103896103896104, 0.9879437229437229
Alex DeBrincat, 2.8820861678004537, 2.764705882352941, 2.8026315789473686, 2.954337899543379, 2.8509403821610357
Jakob Chychrun, 2.3766233766233764, 2.1, 2.32, 2.2916666666666665, 2.2720725108225106
Dylan Gambrell, 0.8672566371681416, 0.8333333333333334, 1.0196078431372548, 0.8807339449541285, 0.9002329396482146
Erik Brannstrom, 1.2651933701657458, 1.3333333333333333, 1.4375, 1.3932584269662922, 1.3573212826163428
Drake Batherson, 2.2660550458715596, 3.0, 2.7857142857142856, 2.3893805309734515, 2.610287465639824
Dylan Ferguson, 26.333333333333332, 0, 39.0, 0, 16.333333333333332
Mark Kastelic, 1.0, 2.0, 0.9, 1.135135135135135, 1.2587837837837839
Parker Kelly, 1.1134020618556701, 0.6666666666666666, 1.4, 1.1153846153846154, 1.073863335976738
Brady Tkachuk, 3.68, 3.5454545454545454, 3.966666666666667, 3.702857142857143, 3.7237445887445886
