Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at condition, Average of Conditions
Zach Werenski, 2.610576923076923, 2.7058823529411766, 2.3205128205128207, 2.6729857819905214, 2.5774894696303603
Jake Bean, 1.296, 1.6, 1.52, 1.144927536231884, 1.390231884057971
Justin Danforth, 1.607843137254902, 1.3333333333333333, 1.6153846153846154, 1.5416666666666667, 1.5245569381598794
Michael Hutchinson, 23.46853146853147, 21.0, 20.4, 22.870967741935484, 21.93487480261674
Erik Gudbranson, 1.343661971830986, 1.4, 1.434782608695652, 1.4114285714285715, 1.3974682879888025
Johnny Gaudreau, 2.68955223880597, 3.0714285714285716, 2.6578947368421053, 2.6964285714285716, 2.7788260296263045
Sean Kuraly, 1.6477832512315271, 1.7272727272727273, 1.6595744680851063, 1.6715686274509804, 1.6765497685100854
Boone Jenner, 2.496913580246914, 2.6666666666666665, 2.2212389380530975, 2.5884146341463414, 2.493308454778255
Elvis Merzlikins, 27.563758389261746, 28.75, 27.73913043478261, 27.561643835616437, 27.9036331649152
Jack Roslovic, 1.4627659574468086, 1.2, 1.3934426229508197, 1.5691489361702127, 1.4063393791419603
Lane Pederson, 0.9253731343283582, 1.0, 0.7272727272727273, 1.125, 0.9444114654002713
Patrik Laine, 2.91991341991342, 2.3076923076923075, 2.8588235294117648, 3.0172413793103448, 2.7759176590819594
Andrew Peeke, 0.9562841530054644, 0.42857142857142855, 1.0357142857142858, 1.0449438202247192, 0.8663784218789745
Mathieu Olivier, 0.9823008849557522, 1.0, 0.9583333333333334, 1.0185185185185186, 0.9897881842019011
Gavin Bayreuther, 1.1818181818181819, 1.5, 0.6428571428571429, 1.0784313725490196, 1.100776674306086
Emil Bemstrom, 1.65625, 2.0, 1.9393939393939394, 1.4642857142857142, 1.7649824134199135
Eric Robinson, 1.44, 0.8888888888888888, 1.024390243902439, 1.3870967741935485, 1.1850939767462192
Liam Foudy, 1.2597402597402598, 1.5, 2.0, 1.25, 1.502435064935065
Adam Boqvist, 1.2666666666666666, 1.75, 1.4482758620689655, 1.162162162162162, 1.4067761727244485
Kirill Marchenko, 2.0638297872340425, 1.0, 2.3333333333333335, 2.0, 1.849290780141844
Tim Berni, 1.0638297872340425, 2.0, 1.0, 0.7368421052631579, 1.2001679731243
Kent Johnson, 1.355263157894737, 2.0, 1.5555555555555556, 1.236842105263158, 1.5369152046783627
Nick Blankenburg, 1.4634146341463414, 0, 1.1111111111111112, 1.3157894736842106, 0.9725788047354158
Craig Anderson, 27.98870056497175, 30.227272727272727, 28.269565217391303, 27.096866096866098, 28.395601151625467
Kyle Okposo, 2.301440329218107, 1.9830508474576272, 2.108695652173913, 2.3658536585365852, 2.1897601218465583
Jeff Skinner, 3.1826086956521737, 3.088888888888889, 3.3333333333333335, 3.272727272727273, 3.2193895476504175
Zemgus Girgensons, 1.4861337683523654, 1.1818181818181819, 1.308641975308642, 1.5584415584415585, 1.383758870980187
Vinnie Hinostroza, 1.7083333333333333, 1.125, 1.9811320754716981, 1.7526881720430108, 1.6417883952120105
