Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at condition, Average of Conditions
Jake Muzzin, 2.049780380673499, 2.75, 2.1379310344827585, 2.0474777448071215, 2.246297289990845
Ryan O'Reilly, 2.235294117647059, 2.6296296296296298, 2.393063583815029, 2.3415637860082303, 2.399887779274987
Victor Mete, 0.8866396761133604, 1.0, 0.9130434782608695, 1.016, 0.9539207885935574
Nicholas Robertson, 1.6129032258064515, 0, 1.2857142857142858, 1.7333333333333334, 1.1579877112135177
Carl Dahlstrom, 1.0, 1.0, 1.3076923076923077, 1.0, 1.0769230769230769
Mark Giordano, 2.0775547445255476, 1.9565217391304348, 2.2320441988950277, 2.183453237410072, 2.1123934799902706
Wayne Simmonds, 2.0589941972920696, 2.066666666666667, 1.8742857142857143, 2.042884990253411, 2.0107078921244654
Luke Schenn, 1.211891891891892, 1.2857142857142858, 1.417142857142857, 1.2616407982261642, 1.2940974582437998
TJ Brodie, 1.137469586374696, 0.85, 1.2083333333333333, 1.1102941176470589, 1.076524259338772
John Tavares, 3.1762977473065623, 3.325, 3.0511363636363638, 3.152641878669276, 3.1762689974030502
Calle Jarnkrok, 1.5640625, 1.5909090909090908, 1.5132743362831858, 1.5641791044776119, 1.558106257917472
Justin Holl, 0.9818840579710145, 0.8888888888888888, 0.9215686274509803, 0.9473684210526315, 0.9349274988408788
Morgan Rielly, 2.1701828410689172, 1.6666666666666667, 2.09375, 2.2444444444444445, 2.0437609880450074
Matt Murray, 1.1724137931034482, 1.4545454545454546, 1.5, 1.0615384615384615, 1.297124427296841
Jake McCabe, 1.0423387096774193, 1.4736842105263157, 1.253968253968254, 1.072289156626506, 1.2105700826996237
Erik Gustafsson, 0.945054945054945, 1.0, 0.7619047619047619, 1.2244897959183674, 0.9828623757195186
Alexander Kerfoot, 1.3533487297921478, 1.4545454545454546, 1.2027027027027026, 1.4351851851851851, 1.3614455180563725
William Nylander, 2.73828125, 2.75, 2.715686274509804, 2.8171206225680936, 2.7552720367694743
Sam Lafferty, 1.2990196078431373, 1.1428571428571428, 1.146341463414634, 1.2549019607843137, 1.210780043724807
Michael Bunting, 2.044943820224719, 2.2, 1.8571428571428572, 1.9518072289156627, 2.0134734765708098
Mitchell Marner, 2.628, 2.9523809523809526, 2.7325581395348837, 2.4624505928853755, 2.693847421200303
Ilya Samsonov, 24.208, 22.75, 24.055555555555557, 22.78688524590164, 23.4501102003643
Noel Acciari, 1.3544973544973544, 1.2666666666666666, 1.2553191489361701, 1.4406779661016949, 1.3292902840504714
Auston Matthews, 3.9471458773784356, 4.2, 4.328947368421052, 4.008583690987124, 4.121169234196652
Joseph Woll, 28.857142857142858, 0, 25.0, 32.5, 21.589285714285715
Zach Aston-Reese, 1.4261744966442953, 1.4545454545454546, 1.2666666666666666, 1.484076433121019, 1.407865762744359
Conor Timmins, 0.873015873015873, 1.0, 0.5, 0.8214285714285714, 0.7986111111111112
Timothy Liljegren, 1.1578947368421053, 1.0, 1.0833333333333333, 1.0895522388059702, 1.082695077245352
David Kampf, 1.205128205128205, 1.1176470588235294, 1.162162162162162, 1.2227979274611398, 1.176933838393759
Bobby McMann, 1.0808080808080809, 0, 1.7692307692307692, 1.2222222222222223, 1.0180652680652682
Carl Hagelin, 2.0042075736325384, 2.260869565217391, 2.2, 2.0386740331491713, 2.125937792999775
Alex Ovechkin, 4.72876304023845, 4.333333333333333, 4.644628099173554, 4.695652173913044, 4.600594161664596
T.J. Oshie, 2.055439330543933, 1.8, 2.1164021164021163, 2.119148936170213, 2.0227475957790655
Nicklas Backstrom, 25.222760290556902, 22.25, 24.692307692307693, 23.833333333333332, 23.999600329049482
John Carlson, 2.354733405875952, 2.3, 2.1637426900584797, 2.334792122538293, 2.2883170546181812
Craig Smith, 2.472189349112426, 2.8214285714285716, 2.4689655172413794, 2.4061757719714962, 2.542189802438468
Darcy Kuemper, 26.13753581661891, 23.0, 26.75, 25.58433734939759, 25.367968291504123
Nick Jensen, 1.4516129032258065, 2.0, 1.7272727272727273, 1.375, 1.6384714076246334
Nic Dowd, 1.037122969837587, 1.0, 1.1518987341772151, 0.9903846153846154, 1.0448515798498543
Matt Irwin, 1.5824175824175823, 1.3076923076923077, 1.6979166666666667, 1.6553191489361703, 1.5608364264281818
Evgeny Kuznetsov, 2.1830357142857144, 2.0277777777777777, 2.120967741935484, 2.2797619047619047, 2.1528857846902203
Tom Wilson, 1.5342261904761905, 2.024390243902439, 1.512, 1.536144578313253, 1.651690253172971
Anthony Mantha, 2.4268585131894485, 2.375, 2.4408602150537635, 2.4334975369458127, 2.419054066297256
Conor Sheary, 1.8240917782026769, 1.9310344827586208, 1.8823529411764706, 1.8783269961977187, 1.8789515495838718
Trevor van Riemsdyk, 1.2155009451795842, 1.0, 1.3837209302325582, 1.2671755725190839, 1.2165993619828064
Sonny Milano, 1.2941176470588236, 1.875, 1.3043478260869565, 1.3106060606060606, 1.44601788343796
Dylan Strome, 1.7745664739884393, 1.4285714285714286, 2.0689655172413794, 1.883435582822086, 1.7888847506558334
Charlie Lindgren, 26.086206896551722, 32.0, 29.88888888888889, 25.714285714285715, 28.42234537493158
Martin Fehervary, 1.2708333333333333, 1.375, 1.3636363636363635, 1.3194444444444444, 1.3322285353535352
Alexander Alexeyev, 0.96, 1.0, 1.4166666666666667, 0.8, 1.0441666666666667
Rasmus Sandin, 0.9801324503311258, 1.0, 1.0555555555555556, 1.0875, 1.0307970014716705
Aliaksei Protas, 1.2650602409638554, 0.0, 2.2857142857142856, 1.3902439024390243, 1.2352546072792912
Keith Kinkaid, 25.366863905325445, 19.25, 25.023255813953487, 24.38888888888889, 23.507252152041954
