Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at Home
Oliver Ekman-Larsson, 2.283482142857143, 2.2933333333333334, 2.203991130820399, 2.606060606060606
Tanner Pearson, 1.9, 2.0338983050847457, 2.0, 2.0498338870431896
Tucker Poolman, 0.9230769230769231, 1.1717791411042944, 1.1527777777777777, 1.0
Travis Dermott, 0.875, 1.096774193548387, 0.8372093023255814, 1.148936170212766
Ethan Bear, 1.4333333333333333, 1.4110169491525424, 2.0, 1.375
Ilya Mikheyev, 2.276595744680851, 2.3072916666666665, 2.8214285714285716, 4.5
Justin Dowling, 0.9489795918367347, 0.0, 0.782608695652174, 0.6666666666666666
Spencer Martin, 0, 24.63157894736842, 26.657894736842106
Jack Rathbone, 1.4782608695652173, 1.2857142857142858, 'NULL'
Tyler Myers, 1.6607538802660753, 1.6747252747252748, 1.7241379310344827, 1.6114649681528663
J.T. Miller, 1.9329529243937233, 2.0238095238095237, 1.9943661971830986, 1.6875
Phillip Di Giuseppe, 1.602803738317757, 2.25, 1.6728971962616823, 1.6111111111111112
Kyle Burroughs, 0.9230769230769231, 0.0, 0.6, 0.9444444444444444
Thatcher Demko, 28.50602409638554, 28.602564102564102, 29.89189189189189, 30.5
Dakota Joshua, 0.9134615384615384, 0.0, 0.9591836734693877, 0.8888888888888888
Brock Boeser, 2.732283464566929, 2.5, 2.4339622641509435, 2.7202072538860103
Noah Juulsen, 1.1904761904761905, 1.078125, 0.8571428571428571, 1.0
Anthony Beauvillier, 1.9788583509513742, 2.197674418604651, 2.0826446280991737, 1.9166666666666667
Guillaume Brisebois, 0.7619047619047619, 1.0, 0.6153846153846154, 0.7272727272727273
Christian Wolanin, 0.0, 1.075, 0.9210526315789473, 1.1176470588235294
Conor Garland, 2.3866666666666667, 2.4524590163934428, 2.375, 2.116279069767442
Filip Hronek, 1.859016393442623, 2.142857142857143, 1.8235294117647058, 1.5
Elias Pettersson, 2.4967532467532467, 2.7777777777777777, 2.4705882352941178, 2.0526315789473686
Jack Studnicka, 0.0, 1.4324324324324325, 1.1666666666666667, 1.368421052631579
Sheldon Dries, 0.7777777777777778, 1.2666666666666666, 1.5357142857142858, 1.0
Collin Delia, 27.0, 33.0, 27.19148936170213, 25.35
Quinn Hughes, 1.8571428571428572, 2.142857142857143, 1.8955223880597014, 1.4102564102564104
Vitali Kravtsov, 0.3333333333333333, 1.0740740740740742, 0.9090909090909091, 1.6
Vasily Podkolzin, 1.3513513513513513, 1.4107142857142858, 1.2105263157894737, 1.5
Nils Aman, 0.7843137254901961, 0.0, 0.9230769230769231, 1.2
Andrei Kuzmenko, 1.859375, 2.0, 1.9393939393939394
